Place,Total,SeaLevel,CoastalDEM_Perm_p5,CoastalDEM_Perm_p50,CoastalDEM_Perm_p95,CoastalDEM_RL1_p5,CoastalDEM_RL1_p50,CoastalDEM_RL1_p95,SRTM_Perm_p5,SRTM_Perm_p50,SRTM_Perm_p95,SRTM_RL1_p5,SRTM_RL1_p50,SRTM_RL1_p95,JAXA_Perm_p5,JAXA_Perm_p50,JAXA_Perm_p95,JAXA_RL1_p5,JAXA_RL1_p50,JAXA_RL1_p95,MERITDEM_Perm_p5,MERITDEM_Perm_p50,MERITDEM_Perm_p95,MERITDEM_RL1_p5,MERITDEM_RL1_p50,MERITDEM_RL1_p95
El Salvador,6.0,K14_rcp45_2050,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
El Salvador,6.0,K14_rcp45_2100,0.00,0.01,0.01,0.01,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01
El Salvador,6.0,K14_rcp85_2050,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
El Salvador,6.0,K14_rcp85_2100,0.00,0.01,0.01,0.01,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01
El Salvador,6.0,K17_rcp26_2050,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
El Salvador,6.0,K17_rcp26_2100,0.00,0.01,0.01,0.01,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01
El Salvador,6.0,K17_rcp45_2050,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
El Salvador,6.0,K17_rcp45_2100,0.00,0.01,0.03,0.01,0.02,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.02,0.01,0.01,0.02
El Salvador,6.0,K17_rcp85_2050,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01
El Salvador,6.0,K17_rcp85_2100,0.01,0.03,0.07,0.02,0.04,0.09,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.01,0.03,0.01,0.02,0.03
Eritrea,5.8,Present day,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--,--,0.00 ,--
Eritrea,5.8,K14_rcp26_2050,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eritrea,5.8,K14_rcp26_2100,0.00,0.00,0.01,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Eritrea,5.8,K14_rcp45_2050,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eritrea,5.8,K14_rcp45_2100,0.00,0.01,0.01,0.01,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Eritrea,5.8,K14_rcp85_2050,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eritrea,5.8,K14_rcp85_2100,0.00,0.01,0.02,0.01,0.02,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Eritrea,5.8,K17_rcp26_2050,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eritrea,5.8,K17_rcp26_2100,0.00,0.00,0.02,0.00,0.01,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Eritrea,5.8,K17_rcp45_2050,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eritrea,5.8,K17_rcp45_2100,0.00,0.01,0.03,0.01,0.02,0.06,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01
Eritrea,5.8,K17_rcp85_2050,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Eritrea,5.8,K17_rcp85_2100,0.01,0.03,0.09,0.02,0.05,0.11,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.01,0.01
Fiji,0.86,Present day,--,0.02 ,--,--,0.03 ,--,--,0.01 ,--,--,0.02 ,--,--,0.01 ,--,--,0.02 ,--,--,0.05 ,--,--,0.06 ,--
Fiji,0.86,K14_rcp26_2050,0.02,0.03,0.03,0.04,0.05,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.06,0.06,0.07,0.07,0.08
Fiji,0.86,K14_rcp26_2100,0.03,0.04,0.07,0.05,0.07,0.10,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.02,0.03,0.02,0.03,0.03,0.06,0.07,0.09,0.08,0.09,0.10
Fiji,0.86,K14_rcp45_2050,0.02,0.03,0.03,0.04,0.05,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.06,0.07,0.07,0.07,0.08
Fiji,0.86,K14_rcp45_2100,0.03,0.05,0.08,0.05,0.07,0.10,0.02,0.02,0.03,0.02,0.03,0.03,0.02,0.02,0.03,0.02,0.03,0.04,0.06,0.08,0.09,0.08,0.09,0.10
Fiji,0.86,K14_rcp85_2050,0.03,0.03,0.03,0.04,0.05,0.06,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.06,0.06,0.07,0.07,0.08,0.08
Fiji,0.86,K14_rcp85_2100,0.04,0.06,0.10,0.06,0.09,0.13,0.02,0.02,0.03,0.02,0.03,0.04,0.02,0.02,0.03,0.02,0.03,0.04,0.07,0.08,0.10,0.08,0.10,0.11
Fiji,0.86,K17_rcp26_2050,0.02,0.03,0.04,0.04,0.05,0.06,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.06,0.07,0.07,0.07,0.08
Fiji,0.86,K17_rcp26_2100,0.03,0.05,0.08,0.05,0.07,0.11,0.02,0.02,0.03,0.02,0.03,0.04,0.02,0.02,0.03,0.02,0.03,0.04,0.06,0.08,0.09,0.07,0.09,0.10
Fiji,0.86,K17_rcp45_2050,0.02,0.03,0.04,0.04,0.05,0.06,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.06,0.07,0.07,0.07,0.08
Fiji,0.86,K17_rcp45_2100,0.04,0.07,0.13,0.06,0.10,0.15,0.02,0.03,0.04,0.02,0.03,0.05,0.02,0.03,0.04,0.02,0.04,0.05,0.07,0.09,0.11,0.08,0.10,0.12
Fiji,0.86,K17_rcp85_2050,0.02,0.03,0.04,0.04,0.05,0.07,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.06,0.06,0.07,0.07,0.08,0.08
Fiji,0.86,K17_rcp85_2100,0.07,0.12,0.17,0.09,0.14,0.18,0.02,0.04,0.07,0.03,0.05,0.08,0.03,0.04,0.07,0.03,0.05,0.08,0.09,0.11,0.14,0.10,0.12,0.15
France,63,Present day,--,0.30 ,--,--,0.89 ,--,--,0.26 ,--,--,0.57 ,--,--,0.24 ,--,--,0.47 ,--,--,0.08 ,--,--,0.37 ,--
France,63,K14_rcp26_2050,0.32,0.37,0.44,0.92,1.00,1.1,0.27,0.31,0.35,0.59,0.63,0.67,0.25,0.28,0.33,0.49,0.53,0.60,0.09,0.12,0.17,0.39,0.43,0.49
France,63,K14_rcp26_2100,0.34,0.45,0.67,0.94,1.1,1.3,0.29,0.36,0.46,0.60,0.68,0.80,0.26,0.32,0.42,0.50,0.60,0.74,0.10,0.17,0.26,0.40,0.49,0.62
France,63,K14_rcp45_2050,0.33,0.38,0.44,0.93,1.00,1.1,0.28,0.31,0.35,0.59,0.63,0.67,0.25,0.29,0.32,0.50,0.54,0.59,0.10,0.13,0.16,0.40,0.44,0.48
France,63,K14_rcp45_2100,0.37,0.50,0.73,0.99,1.2,1.4,0.31,0.38,0.48,0.63,0.70,0.81,0.28,0.35,0.43,0.53,0.63,0.76,0.13,0.20,0.26,0.43,0.52,0.64
France,63,K14_rcp85_2050,0.33,0.39,0.46,0.94,1.00,1.1,0.28,0.32,0.36,0.60,0.64,0.68,0.25,0.29,0.33,0.50,0.55,0.61,0.10,0.13,0.18,0.40,0.45,0.50
France,63,K14_rcp85_2100,0.40,0.58,0.86,1.00,1.2,1.5,0.33,0.42,0.55,0.65,0.75,0.88,0.30,0.38,0.49,0.56,0.68,0.83,0.15,0.23,0.35,0.46,0.57,0.71
France,63,K17_rcp26_2050,0.31,0.37,0.47,0.90,0.99,1.1,0.26,0.31,0.37,0.57,0.62,0.69,0.24,0.28,0.34,0.47,0.53,0.62,0.08,0.12,0.18,0.37,0.43,0.51
France,63,K17_rcp26_2100,0.32,0.48,0.77,0.92,1.1,1.4,0.28,0.37,0.51,0.59,0.69,0.85,0.25,0.34,0.46,0.49,0.62,0.79,0.10,0.19,0.28,0.39,0.51,0.67
France,63,K17_rcp45_2050,0.31,0.37,0.47,0.91,1.00,1.1,0.27,0.31,0.37,0.58,0.63,0.69,0.24,0.29,0.33,0.48,0.54,0.61,0.09,0.13,0.18,0.38,0.44,0.50
